7 Magneti|1 0 8 12|65|25 35 70 45
8 Magneton|1 0 8 12|163|50 60 95 70
10 Canarticho|1 0 2 0|132|52 90 55 60
5 Doduo|1 0 2 0|62|35 85 45 75
6 Dodrio|1 0 2 0|165|60 110 70 110
6 Otaria|1 0 10 -1|65|65 45 55 45
9 Lamantine|1 0 14 10|166|90 70 80 70
7 Tadmorv|1 0 3 -1|65|80 80 50 25
10 Grotadmorv|1 0 3 -1|175|105 105 75 50
7 Kokiyas|1 0 10 -1|61|30 65 100 40
9 Crustabri|1 0 14 10|184|50 95 180 70
10 Fantominus|1 0 3 7|62|30 35 30 80
8 Spectrum|1 0 3 7|142|45 50 45 95
10 Ectoplasma|1 0 3 7|225|60 65 60 110
4 Onix|1 0 4 5|77|35 45 160 70
9 Soporifik|1 0 13 -1|66|60 48 45 42
9 Hypnomade|1 0 13 -1|169|85 73 70 67
6 Krabby|1 0 10 -1|65|30 105 90 50
8 Krabboss|1 0 10 -1|166|55 130 115 75
8 Voltorbe|1 0 12 -1|66|40 30 50 100
9 Electrode|1 0 12 -1|172|60 50 70 150
9 Noeunoeuf|1 0 13 11|65|60 40 80 40
8 Noadkoko|1 0 13 11|186|95 95 85 55
8 Osselait|1 0 4 -1|64|50 50 95 35
9 Ossatueur|1 0 4 -1|149|60 80 110 45
7 Kicklee|1 0 1 -1|159|50 120 53 87
6 Tygnon|1 0 1 -1|159|50 105 79 76
10 Excelangue|1 0 0 -1|77|90 55 75 30
5 Smogo|1 0 3 -1|68|40 65 95 35
7 Smogogo|1 0 3 -1|172|65 90 120 60
10 Rhinocorne|1 0 5 4|69|80 85 95 25
10 Rhinoferos|1 0 5 4|170|105 130 120 40
9 Leveinard|1 0 0 -1|395|250 5 5 50
10 Saquedeneu|1 0 11 -1|87|65 55 115 60
9 Kangourex|1 0 0 -1|172|105 95 80 90
10 Hypotrempe|1 0 10 -1|59|30 40 70 60
8 Hypocean|1 0 10 -1|154|55 65 95 85
10 Poissirene|1 0 10 -1|64|45 67 60 63
9 Poissoroy|1 0 10 -1|158|80 92 65 68
5 Stari|1 0 10 -1|68|30 45 55 85
7 Staross|1 0 13 10|182|60 75 85 115
6 M.Mime|1 0 17 13|161|40 45 65 90
10 Insecateur|1 0 2 6|100|70 110 80 105
9 Lippoutou|1 0 13 14|159|65 50 35 95
7 Elektek|1 0 12 -1|172|65 83 57 105
6 Magmar|1 0 9 -1|173|65 95 57 93
10 Scarabrute|1 0 6 -1|175|65 125 100 85
6 Tauros|1 0 0 -1|172|75 100 95 110
9 Magicarpe|1 0 10 -1|40|20 10 55 80
8 Leviator|1 0 2 10|189|95 125 79 81
8 Lokhlass|1 0 14 10|187|130 85 80 60
9 Metamorph|1 0 0 -1|101|48 48 48 48
5 Evoli|1 0 0 -1|65|55 55 50 55
6 Aquali|1 0 10 -1|184|130 65 60 65
7 Voltali|1 0 12 -1|184|65 65 60 130
6 Pyroli|1 0 9 -1|184|65 130 60 65
7 Porygon|1 0 0 -1|79|65 60 70 40
7 Amonita|1 0 10 5|71|35 40 100 35
9 Amonistar|1 0 10 5|173|70 60 125 55
6 Kabuto|1 0 10 5|71|30 80 90 55
8 Kabutops|1 0 10 5|173|60 115 105 80
5 Ptera|1 0 2 5|180|80 105 65 130
7 Ronflex|1 0 0 -1|189|160 110 65 30
9 Artikodin|1 0 2 14|261|90 85 100 85
8 Electhor|1 0 2 12|261|90 90 85 100
7 Sulfura|1 0 2 9|261|90 100 90 90
9 Minidraco|1 0 15 -1|60|41 64 45 50
5 Draco|1 0 15 -1|147|61 84 65 70
10 Dracolosse|1 0 2 15|270|91 134 95 80
6 Mewtwo|1 0 13 -1|306|106 110 90 130
3 Mew|1 0 13 -1|270|100 100 100 100
